month,weekday,day,hour,value
8.0,6.0,2.0,20.0,1.826
8.0,6.0,2.0,21.0,1.0785
8.0,6.0,2.0,22.0,0.732
8.0,6.0,2.0,23.0,1.5175
8.0,0.0,3.0,0.0,0.858
8.0,0.0,3.0,1.0,0.776
8.0,0.0,3.0,2.0,0.747
8.0,0.0,3.0,3.0,0.783
8.0,0.0,3.0,4.0,0.41700000000000004
8.0,0.0,3.0,5.0,0.2575
8.0,0.0,3.0,6.0,0.219
8.0,0.0,3.0,7.0,0.43199999999999994
8.0,0.0,3.0,8.0,0.199
8.0,0.0,3.0,9.0,0.6475
8.0,0.0,3.0,10.0,0.734
8.0,0.0,3.0,11.0,0.26949999999999996
8.0,0.0,3.0,12.0,0.47650000000000003
8.0,0.0,3.0,13.0,0.8375
8.0,0.0,3.0,14.0,1.116
8.0,0.0,3.0,15.0,3.5970000000000004
8.0,0.0,3.0,16.0,0.507
8.0,0.0,3.0,17.0,0.873
8.0,0.0,3.0,18.0,1.131
8.0,0.0,3.0,19.0,2.3955
8.0,0.0,3.0,20.0,2.1225
8.0,0.0,3.0,21.0,1.1055
8.0,0.0,3.0,22.0,1.2189999999999999
8.0,0.0,3.0,23.0,1.272
8.0,1.0,4.0,0.0,1.3679999999999999
8.0,1.0,4.0,1.0,1.2605
8.0,1.0,4.0,2.0,0.5685
8.0,1.0,4.0,3.0,0.366
8.0,1.0,4.0,4.0,0.33899999999999997
8.0,1.0,4.0,5.0,0.394
8.0,1.0,4.0,6.0,0.3035
8.0,1.0,4.0,7.0,0.39849999999999997
8.0,1.0,4.0,8.0,0.3295
8.0,1.0,4.0,9.0,2.166
8.0,1.0,4.0,10.0,0.23299999999999998
8.0,1.0,4.0,11.0,0.5395
8.0,1.0,4.0,12.0,3.5705
8.0,1.0,4.0,13.0,0.4585
8.0,1.0,4.0,14.0,0.6134999999999999
8.0,1.0,4.0,15.0,1.694
8.0,1.0,4.0,16.0,0.5345
8.0,1.0,4.0,17.0,0.376
8.0,1.0,4.0,18.0,0.9329999999999999
8.0,1.0,4.0,19.0,4.6965
8.0,1.0,4.0,20.0,1.6044999999999998
8.0,1.0,4.0,21.0,1.962
8.0,1.0,4.0,22.0,1.173
8.0,1.0,4.0,23.0,1.081
8.0,2.0,5.0,0.0,1.077
8.0,2.0,5.0,1.0,0.787
8.0,2.0,5.0,2.0,0.6165
8.0,2.0,5.0,3.0,0.805
8.0,2.0,5.0,4.0,0.839
8.0,2.0,5.0,5.0,0.3245
8.0,2.0,5.0,6.0,0.271
8.0,2.0,5.0,7.0,0.256
8.0,2.0,5.0,8.0,1.0945
8.0,2.0,5.0,9.0,2.1355
8.0,2.0,5.0,10.0,3.2695
8.0,2.0,5.0,11.0,3.027
8.0,2.0,5.0,12.0,1.564
8.0,2.0,5.0,13.0,0.4635
8.0,2.0,5.0,14.0,0.406
8.0,2.0,5.0,15.0,0.4235
8.0,2.0,5.0,16.0,1.84
8.0,2.0,5.0,17.0,3.538
8.0,2.0,5.0,18.0,0.4195
8.0,2.0,5.0,19.0,1.6119999999999999
8.0,2.0,5.0,20.0,0.484
8.0,2.0,5.0,21.0,0.5685
8.0,2.0,5.0,22.0,0.6505000000000001
8.0,2.0,5.0,23.0,0.7755000000000001
8.0,3.0,6.0,0.0,1.092
8.0,3.0,6.0,1.0,0.8485
8.0,3.0,6.0,2.0,0.4615
8.0,3.0,6.0,3.0,0.2955
8.0,3.0,6.0,4.0,0.41400000000000003
8.0,3.0,6.0,5.0,0.32499999999999996
8.0,3.0,6.0,6.0,0.3805
8.0,3.0,6.0,7.0,0.3535
8.0,3.0,6.0,8.0,1.5939999999999999
8.0,3.0,6.0,9.0,1.195
8.0,3.0,6.0,10.0,1.4565
8.0,3.0,6.0,11.0,2.512
8.0,3.0,6.0,12.0,2.8979999999999997
8.0,3.0,6.0,13.0,0.8215
8.0,3.0,6.0,14.0,1.2595
8.0,3.0,6.0,15.0,0.9585
8.0,3.0,6.0,16.0,0.979
8.0,3.0,6.0,17.0,1.741
8.0,3.0,6.0,18.0,2.505
8.0,3.0,6.0,19.0,0.6425
8.0,3.0,6.0,20.0,1.915
8.0,3.0,6.0,21.0,0.7390000000000001
8.0,3.0,6.0,22.0,1.0445
8.0,3.0,6.0,23.0,1.2125
8.0,4.0,7.0,0.0,1.1949999999999998
8.0,4.0,7.0,1.0,1.064
8.0,4.0,7.0,2.0,1.1495000000000002
8.0,4.0,7.0,3.0,0.7484999999999999
8.0,4.0,7.0,4.0,0.387
8.0,4.0,7.0,5.0,0.368
8.0,4.0,7.0,6.0,0.2365
8.0,4.0,7.0,7.0,0.27949999999999997
8.0,4.0,7.0,8.0,1.509
8.0,4.0,7.0,9.0,0.7315
8.0,4.0,7.0,10.0,4.02
8.0,4.0,7.0,11.0,0.7435
8.0,4.0,7.0,12.0,1.419
8.0,4.0,7.0,13.0,0.48550000000000004
8.0,4.0,7.0,14.0,2.984
8.0,4.0,7.0,15.0,2.435
8.0,4.0,7.0,16.0,1.0454999999999999
8.0,4.0,7.0,17.0,1.588
8.0,4.0,7.0,18.0,0.6425000000000001
8.0,4.0,7.0,19.0,0.8365
8.0,4.0,7.0,20.0,0.577
8.0,4.0,7.0,21.0,0.7035
8.0,4.0,7.0,22.0,1.028
8.0,4.0,7.0,23.0,1.4100000000000001
8.0,5.0,8.0,0.0,1.103
8.0,5.0,8.0,1.0,0.7124999999999999
8.0,5.0,8.0,2.0,0.6645
8.0,5.0,8.0,3.0,0.6910000000000001
8.0,5.0,8.0,4.0,0.48950000000000005
8.0,5.0,8.0,5.0,0.4255
8.0,5.0,8.0,6.0,0.33199999999999996
8.0,5.0,8.0,7.0,0.3045
8.0,5.0,8.0,8.0,0.2125
8.0,5.0,8.0,9.0,0.26949999999999996
8.0,5.0,8.0,10.0,0.23049999999999998
8.0,5.0,8.0,11.0,0.9255
8.0,5.0,8.0,12.0,1.2965
8.0,5.0,8.0,13.0,0.848
8.0,5.0,8.0,14.0,1.997
8.0,5.0,8.0,15.0,0.56
8.0,5.0,8.0,16.0,0.46599999999999997
8.0,5.0,8.0,17.0,0.46699999999999997
8.0,5.0,8.0,18.0,0.8799999999999999
8.0,5.0,8.0,19.0,1.4575
8.0,5.0,8.0,20.0,2.0685000000000002
8.0,5.0,8.0,21.0,0.702
8.0,5.0,8.0,22.0,3.7165
8.0,5.0,8.0,23.0,1.991
8.0,6.0,9.0,0.0,1.048
8.0,6.0,9.0,1.0,1.1395
8.0,6.0,9.0,2.0,0.54
8.0,6.0,9.0,3.0,0.40800000000000003
8.0,6.0,9.0,4.0,0.33399999999999996
8.0,6.0,9.0,5.0,0.41100000000000003
8.0,6.0,9.0,6.0,0.3305
8.0,6.0,9.0,7.0,1.1765
8.0,6.0,9.0,8.0,0.4135
8.0,6.0,9.0,9.0,0.2795
8.0,6.0,9.0,10.0,0.222
8.0,6.0,9.0,11.0,0.28150000000000003
8.0,6.0,9.0,12.0,0.373
8.0,6.0,9.0,13.0,0.46249999999999997
8.0,6.0,9.0,14.0,0.2755
8.0,6.0,9.0,15.0,0.223
8.0,6.0,9.0,16.0,0.28800000000000003
8.0,6.0,9.0,17.0,0.2485
8.0,6.0,9.0,18.0,0.26649999999999996
8.0,6.0,9.0,19.0,0.29400000000000004
8.0,6.0,9.0,20.0,0.4585
8.0,6.0,9.0,21.0,0.7195
